session_id,start_time,end_time,session_length,key_themes
41,2025-03-31 09:23:12.123456,2025-03-31 09:53:31.234567,0:30:19.111111,"time management, organization skills, digital tools"
42,2025-04-02 12:34:23.345678,2025-04-02 13:04:34.456789,0:30:11.111111,"depression, seasonal depression, light therapy"
43,2025-04-04 15:45:34.567890,2025-04-04 16:15:43.678901,0:30:09.111011,"relationship issues, roommate conflicts, shared living"
44,2025-04-06 11:56:45.789012,2025-04-06 12:26:54.890123,0:30:09.101111,"anxiety about exams, exam accommodations, disability services"
45,2025-04-08 13:12:56.901234,2025-04-08 13:42:12.012345,0:29:15.111111,"career guidance, changing majors, academic advising"
46,2025-04-10 10:23:12.123456,2025-04-10 10:53:31.234567,0:30:19.111111,"mental health concerns, panic attacks, grounding techniques"
47,2025-04-12 12:34:23.345678,2025-04-12 13:04:34.456789,0:30:11.111111,"time management, sleep schedule, healthy routines"
48,2025-04-14 15:45:34.567890,2025-04-14 16:15:43.678901,0:30:09.111011,"anxiety about exams, group projects, presentation anxiety"
49,2025-04-16 10:56:45.789012,2025-04-16 11:26:54.890123,0:30:09.101111,"depression, support groups, peer counseling"
50,2025-04-18 13:12:56.901234,2025-04-18 13:42:12.012345,0:29:15.111111,"relationship issues, healthy boundaries, self-advocacy"
51,2025-04-22 09:23:12.123456,2025-04-22 09:53:31.234567,0:30:19.111111,"career guidance, summer internships, application deadlines"
52,2025-04-28 16:34:23.345678,2025-04-28 17:04:34.456789,0:30:11.111111,"mental health concerns, burnout, self-care strategies"
54,2025-05-05 17:19:40.907949,2025-05-05 17:20:45.302380,0:01:04.394431,"mental health concerns, anxiety, stress management"
55,2025-05-05 17:27:56.320073,2025-05-05 17:29:54.940128,0:01:58.620055,"mental health concerns, stress management"
58,2025-05-06 17:57:46.327962,2025-05-06 17:59:42.827916,0:01:56.499954,"anxiety about exams, mental health concerns"
59,2025-05-06 18:02:55.058929,2025-05-06 18:06:09.480419,0:03:14.421490,"mental health concerns, anxiety"
62,2025-05-07 11:27:31.434383,2025-05-07 11:28:32.422902,0:01:00.988519,"anxiety, mental health concerns"
63,2025-05-08 14:16:18.568872,2025-05-08 14:17:32.749122,0:01:14.180250,"anxiety, stress management"
